Against the Ropes,Charles S. Dutton,111,2/20/2004
Age of Consent,Michael Powell,103,5/14/1969
Agora,Alejandro AmenÃ¡bar,127,5/17/2009
Aguirre  the Wrath of God,Werner Herzog,93,12/29/1972
Ai Weiwei: Never Sorry,Alison Klayman,91,1/22/2012
Aileen Wuornos: The Selling of a Serial Killer,Nick Broomfield,87,10/9/1993
Aileen: Life and Death of a Serial Killer,Nick Broomfield  Joan Churchill,93,
Air America,Roger Spottiswoode,113,8/10/1990
Airplane!,Jim Abrahams  David Zucker,88,7/2/1980
Akira,Katsuhiro Otomo,124,7/16/1988
Alexander,Oliver Stone,175,11/16/2004
Alexandra's Project,Rolf de Heer,103,2/14/2003
Ali,Michael Mann,157,12/11/2001
Ali: Fear Eats the Soul,Rainer Werner Fassbinder,94,3/5/1974
Alice,Jan Svankmajer,86,8/3/1988
Alice Doesn't Live Here Anymore,Martin Scorsese,112,
Alice in Wonderland,Clyde Geronimi  Wilfred Jackson,75,7/26/1951
Alien,Ridley Scott,117,5/25/1979
Alien vs. Predator,Paul W. S. Anderson,109,
Alien: Resurrection,Jean-Pierre Jeunet,109,11/6/1997
Alien³,David Fincher,114,5/22/1992
Aliens,James Cameron,137,7/18/1986
Aliens vs. Predator: Requiem,The Brothers Strause  The Brothers Strause,94,12/25/2007
All About Eve,Joseph L. Mankiewicz,138,10/13/1950
All About My Mother,Pedro AlmodÃ³var,101,4/8/1999
All Is Lost,J.C. Chandor,106,5/22/2013
All Quiet on the Western Front,Lewis Milestone,136,4/21/1930
All That Heaven Allows,Douglas Sirk,89,8/25/1955
All That I Have,William F. Claxton,55,1951-01
All That Jazz,Bob Fosse,123,12/20/1979
All the President's Men,Alan J. Pakula,138,4/4/1976
All Together,StÃ©phane Robelin,96,8/13/2011
Almayer's Folly,Chantal Akerman,127,
Almost Famous,Cameron Crowe,122,9/8/2000
Along Came Polly,John Hamburg,90,1/12/2004
Alphaville,Jean-Luc Godard,99,5/5/1965
Amadeus,Milos Forman,160,9/6/1984
Amarcord,Federico Fellini,123,12/13/1973
Amélie,Jean-Pierre Jeunet,122,4/25/2001
American Beauty,Sam Mendes,122,9/8/1999
American Graffiti,George Lucas,110,8/1/1973
American History X,Tony Kaye,119,10/30/1998
American Hustle,David O. Russell,,12/13/2013
American Psycho,Mary Harron,102,36546
American Splendor,Shari Springer Berman  Robert Pulcini,101,1/20/2003
Amistad,Steven Spielberg,155,12/4/1997
Amores Perros,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,154,5/14/2000
Amour,Michael Haneke,127,5/20/2012
Amreeka,Cherien Dabis,96,1/17/2009
An Actor's Revenge,Kon Ichikawa,113,1/13/1963
An Affair to Remember,Leo McCarey,119,7/2/1957
An American in Paris,Vincente Minnelli,113,8/26/1951
An American Werewolf in London,John Landis,97,8/21/1981
An Autumn Afternoon,YasujirÃ´ Ozu,112,11/18/1962
An Education,Lone Scherfig,100,1/18/2009
An Inconvenient Truth,Davis Guggenheim,100,1/24/2006
Anatomy of a Murder,Otto Preminger,160,7/1/1959
Andrei Rublev,Andrei Tarkovsky,205,1966-12
Androcles and the Lion,Chester Erskine,98,1952-12
Angel Face,Otto Preminger,91,12/11/1952
Angela's Ashes,Alan Parker,145,12/25/1999
Angels with Dirty Faces,Michael Curtiz,97,11/26/1938
Anger Management,Peter Segal,106,3/5/2003
Animal Farm,Joy Batchelor  John Halas,72,12/29/1954
Animal Kingdom,David MichÃ´d,113,1/22/2010
Anna and the King,Andy Tennant,148,12/6/1999
Annie Hall,Woody Allen,93,4/20/1977
Antichrist,Lars von Trier,108,5/18/2009
Antonia's Line,Marleen Gorris,102,
Antonio GaudÃ­,Hiroshi Teshigahara,72,9/7/1985
Antwone Fisher,Denzel Washington,120,9/12/2002
Anvil: The Story of Anvil,Sacha Gervasi,80,1/18/2008
Any Day Now,Travis Fine,98,4/20/2012
Any Given Sunday,Oliver Stone,150,12/16/1999
Anywhere But Here,Wayne Wang,114,9/17/1999
Aparajito,Satyajit Ray,110,1956
Apocalypse Now,Francis Coppola,153,5/10/1979
Apocalypto,Mel Gibson,139,12/8/2006
Apollo 13,Ron Howard,140,6/22/1995
Appaloosa,Ed Harris,115,9/5/2008
Araya,Margot Benacerraf,90,
Archangel,Guy Maddin,90,4/1/1991
Argo,Ben Affleck,120,8/31/2012
Ariel,Aki KaurismÃ¤ki,73,10/21/1988
Armadillo,Janus Metz Pedersen,105,5/16/2010
Artemisia,Agnès Merlet,98,9/10/1997
Arthur and the Invisibles,Luc Besson,94,11/29/2006
Artists and Models,Frank Tashlin,109,11/7/1955
As Good as It Gets,James L. Brooks,139,12/19/1997
